State,Poverty,HeartDisease,Diabetes,Concentration,Errands,HighSchool,Internet,HealthStatus,GeneralHealth,Pneumonia,Shingles,BMI,Activities
AL,15,5.6,12.9,16.4,10.7,17.4,75.6,22.9,23,67,16.2,66.9,72.4
AK,7.9,2.4,7.4,7.5,4.6,9.7,89.9,13.4,13.4,60.5,20.6,64.8,80.8
AZ,13.2,4,10.1,10.8,6.5,15.4,82.9,19,19.1,70.9,23.7,64,78.8
AR,13.8,6.2,12.8,15.9,11.1,16.8,77.3,23.5,23.5,70.3,19.4,70.6,69.4
CA,12.2,3.7,10.3,10.8,7,19.1,80.6,18.1,18.1,70,25.2,59.7,78.3
CO,8,3,7.3,7.8,4.8,10.8,86.9,13.2,13.2,73.4,26.8,57.4,83.6
CT,7.5,3.7,9.2,8.7,6.4,11.6,83.7,14.3,14.3,70.6,21.1,60.4,79.4
DE,8.5,4.8,11.1,10.5,5.9,13.4,81.5,15.6,15.6,72.9,20.2,67.5,75.1
DC,14.2,2.4,8.4,9.3,6.4,12,84.6,12.9,12.9,65.9,22.2,54.9,79.2
FL,12,5.4,11.2,11.6,7.4,14.6,81.9,19.3,19.3,66.9,20.5,62.2,76.3
GA,14.1,4.1,11.6,11.4,7.4,16.4,80.5,18.8,18.8,65.2,18.6,65.7,76.4
HI,7.8,3.4,9.8,7,4.6,9.7,80.4,14.6,14.5,64.6,26.8,58.1,80.4
ID,10.2,3.4,7.6,8.7,4.8,11.9,86.1,13.1,13.1,68.5,24.9,65.7,81.3
IL,10.5,3.6,10.1,8.1,5.2,13.4,81.8,17.3,17.4,65.3,18.5,63.8,76.1
IN,10.9,4.6,10.7,10.8,7.6,14,80.7,18.9,18.9,69.8,19.2,66.4,73.9
IA,7.9,4.1,9.5,8.3,5.1,9.6,83.2,13.6,13.6,71.9,26.8,66.9,77.4
KS,9.2,4.2,10.3,9.9,6.5,11.1,83.9,15.4,15.5,71.7,23,66,76.2
KY,14.5,6,12.5,16,9.9,17.3,78.7,24.3,24.3,69.4,20,66.7,71.8
LA,14.9,6.2,11.3,14.5,8.5,18,77,21.7,21.7,66.9,15.4,69,70.5
ME,9.7,5.4,9.5,9.8,6.3,9.4,84.8,15.1,15.1,74.1,27.7,64.5,80.3
MD,7.1,3.2,10.1,8.6,5.3,11.9,84.5,14.2,14.2,69.8,22.8,64.9,78.6
MA,8.3,4.3,9.7,11.9,7.5,11.2,85.3,14.5,14.5,71.9,25,58.9,79.9
MI,11.4,5.4,10.4,12.6,7.5,11.6,83,16.8,16.8,69.3,21.7,65.6,74.5
MN,7.5,3.5,8.1,8.3,4.1,9,86.8,12,12,72.6,28.7,64.1,79.8
MS,16.5,4.7,13,16.2,10.1,19.1,70.4,22.1,22,67.2,12.9,70.7,68.4
MO,10.7,4.8,11.1,11.6,7.8,12.9,81.5,16.9,16.9,72,20.1,65.6,75
MT,9.5,3.6,8.8,10.7,5.9,8.9,83,15.4,15.4,70.3,25.2,63,80.4
NE,8.7,3.9,9.2,7.9,4.7,10.5,83.6,13.2,13.2,72.3,27.9,66.7,78.7
NV,11,4.7,9.6,11.3,6.5,16.7,82.1,18.5,18.5,71,20.1,63.5,77.5
NH,6,4.2,9.2,9.8,5.7,8.8,89.1,13.7,13.7,76.2,25.4,63.6,80.7
NJ,8.3,4.4,9.7,8.8,5.4,12.5,82.9,16.9,16.9,64.1,15.1,63.2,76.7
NM,16.5,3.9,11.5,12.1,7.9,17.4,76.4,20.7,20.7,70.3,26.2,64.8,76.7
NY,12.2,4.2,10,9.5,6.4,15.2,80,17.2,17.2,65.4,17.8,61.1,74.1
NC,12.8,5,10.8,10.8,7.7,15.7,78.5,19,19,71.2,22.5,65.6,76.8
ND,7.4,4.1,8.6,7.1,4.5,9.3,82.6,14.1,14.1,72.1,28.7,68.8,78.7
OH,11.6,4.8,11.7,11.6,7.5,12.2,82.7,17.9,17.9,70.2,20.8,66.7,75.1
OK,12.2,5.4,12,12.8,9.1,14.7,79.6,20.5,20.5,75.5,20.2,68.2,71.7
OR,11,4,9,11.7,7,11.5,87.2,15.6,15.7,74.1,30.5,61.7,83.5
PA,9.4,5.1,11.2,10.4,6.3,11.9,80.6,17.1,17.1,70.9,21.5,64.1,76.7
RI,10,4.2,9.5,10.3,6.5,15.1,83.1,15.3,15.2,75.2,24,62.5,77.5
SC,13.2,4.8,12,12.9,8,16.2,77.3,19.7,19.8,71.9,18.6,67.1,74.7
SD,9.4,4.2,9.1,8.1,5.3,10.8,81.5,14,14,68.8,27.4,65.2,78.8
TN,13.7,5.6,13,14.4,10,16,78.1,23.8,23.8,71.2,18.8,67.1,73.2
TX,13.4,3.7,11,10,6.4,19.4,79.1,19.5,19.5,67.9,19.1,67.8,72.4
UT,8.5,2.5,7.1,9.5,4.6,10,89.4,12.1,12.1,69.3,24.4,59.5,83.2
VT,8.7,4.1,7.9,9.8,5.6,8.7,86,11.7,11.7,72.4,30,60.2,81
VA,8.3,4,9.7,9.6,5.5,12.9,84,16.9,16.9,70.7,23.6,64.8,76.5
WA,8.8,3.6,8.9,10.2,6.3,11,87.4,16,16,73.4,29.5,63.4,81.9
WV,13.1,7.8,14.1,14.8,12,16.6,73.2,25.8,25.8,67.7,18.5,69.7,71.3
WI,9,3.7,9,9.5,5.9,10.3,83.5,15.5,15.5,71.7,24.2,67.4,78.8
WY,7.4,4,8.4,7.5,4.7,8.7,84.3,13.7,13.7,70.1,21.3,64.7,77.9